timestamp,rel_alt
1746614120.3657513,150.476
1746614120.432962,150.454
1746614120.515767,150.431
1746614120.5823486,150.401
1746614120.6649241,150.377
1746614120.7206352,150.35
1746614120.7848525,150.314
1746614120.8703988,150.258
1746614120.9054167,150.162
1746614120.9725022,150.04
1746614121.007908,149.9
1746614121.053149,149.767
1746614121.1327596,149.613
1746614121.1778982,149.479
1746614121.2240975,149.363
1746614121.2886662,149.274
1746614121.3379765,149.225
1746614121.3727527,149.185
1746614121.438719,149.153
1746614121.5324583,149.134
1746614121.6148772,149.127
1746614121.7567532,149.124
1746614122.1739488,149.121
1746614122.262759,149.125
1746614122.353683,149.127
1746614122.4172423,149.136
1746614122.4578345,149.166
1746614122.5161142,149.219
1746614122.5763848,149.294
1746614122.645378,149.396
1746614122.7068903,149.515
1746614122.7505867,149.656
1746614122.7994454,149.819
1746614122.94061,149.964
1746614123.0045671,150.11
1746614123.088868,150.269
1746614123.1785212,150.387
1746614123.245213,150.496
1746614123.3495154,150.578
1746614124.202251,150.643
1746614124.8077724,150.665
1746614124.9045854,150.607
1746614124.997874,150.529
1746614125.0853107,150.456
1746614125.1639895,150.378
1746614125.2517166,150.279
1746614125.3093748,150.172
1746614125.3863547,150.037
1746614126.0618768,149.09
1746614126.6969254,147.653
1746614126.7737005,147.387
1746614126.8328912,147.085
1746614126.899651,146.807
1746614126.9605863,146.527
1746614127.1099348,146.215
1746614127.178614,145.944
1746614127.2488148,145.639
1746614127.3276436,145.373
1746614127.3884432,145.122
1746614127.4599304,144.905
1746614127.5403454,144.709
1746614127.6190586,144.58
1746614127.7062447,144.476
1746614127.7687294,144.413
1746614127.8311942,144.371
1746614127.9094102,144.331
1746614127.9689498,144.284
1746614128.0519538,144.215
1746614128.0976372,144.149
1746614128.163357,144.086
1746614128.6176236,144.016
1746614129.2730591,143.653
1746614129.4893856,143.521
1746614129.8143682,143.248
1746614130.0236812,143.109
1746614130.5133173,142.911
1746614130.7478926,142.886
1746614130.8174279,142.882
1746614130.8827634,142.878
1746614130.9643564,142.879
1746614131.0550954,142.881
1746614131.107516,142.886
1746614131.1903126,142.9
1746614131.274784,142.923
1746614131.3696675,142.952
1746614131.4422636,142.984
1746614131.5241299,143.026
1746614131.680422,143.064
1746614131.7412457,143.098
1746614131.8029356,143.134
1746614131.8700585,143.167
1746614131.9567544,143.218
1746614132.0268607,143.293
1746614132.092168,143.359
1746614132.1768878,143.428
1746614132.24024,143.484
1746614132.2820938,143.53
1746614132.3177266,143.564
1746614132.366665,143.576
1746614132.4091911,143.568
1746614132.4610338,143.536
1746614132.5251446,143.495
